wavelength(nm)	n	k
350	2.0200283114669024	4.624741136536754E-06
355	2.0158482699865843	3.470477029019168E-06
360	2.013854818235619	2.105880942348668E-06
365	2.0103210925600385	1.2274561868545326E-06
370	2.004903926889138	9.383945430196711E-07
375	2.0036079776421487	8.264302790288229E-07
380	1.9984289567586397	4.01259294618833E-07
385	1.9222021724269216	-0.010077063332152685
390	1.9929529765497267	2.0217934354624998E-06
395	1.990574162769276	4.1200484932612715E-06
400	1.9891049415790703	9.552166922431198E-08
405	1.9865720237507454	1.9727449850908036E-08
410	1.9836845009982853	5.520215723605091E-07
415	1.980543984800352	-1.1710516510645328E-06
420	1.9784869958700586	2.086595026255147E-08
425	1.9762346061305736	3.898852323107345E-06
430	1.9747955722884303	-4.329417790032342E-11
435	1.973412	8.792645999999996E-08
440	1.9718962719843853	-4.288576042224466E-08
445	1.969937801451428	-1.2239123042025034E-11
450	1.9671386835590425	3.128289307142308E-07
455	1.9653472999340007	5.70998259212144E-07
460	1.9651982371127974	4.895842168559388E-07
465	1.963055354228528	1.2114249949134136E-07
470	1.9609549096561618	2.3694261273305678E-07
475	1.9608455262833542	-3.150223103299035E-11
480	1.9562035230868695	-9.790561663485036E-09
485	1.9581943340692614	-2.222114207242461E-08
490	1.9550746135803307	1.1750981036867843E-10
495	1.9556830741827531	1.443373720867838E-07
500	1.952763239851655	1.959211087884294E-06
505	1.953079017733021	2.175186795127234E-07
510	1.9517971500209796	-2.6093459226125067E-07
515	1.9495305562213008	2.0009037043561214E-07
520	1.9499830591433505	-7.212642643955745E-11
525	1.9487192827985726	2.279088017162387E-07
530	1.9462946298779524	4.2895383364328417E-07
535	1.946446	2.6469779601696886E-23
540	1.9462655824773716	-5.1096367544364935E-15
545	1.9451896276486536	8.204699838484209E-10
550	1.9434003064973475	4.422107646654426E-07
555	1.9418839207392309	6.553641289921573E-07
560	1.9418420983141922	2.547857017100552E-07
565	1.9415943159871463	3.0304185803491947E-06
570	1.9411694936683244	3.873718482575913E-13
575	1.9405986348190043	-1.6704507203774844E-16
580	1.9398888995548116	6.4335658157265E-08
585	1.9391079174671533	-5.78330061462571E-08
590	1.938393413457094	8.68594721457776E-09
595	1.9377273479026036	1.931112761996283E-07
600	1.937116406944094	4.11837990129698E-08
605	1.9365386004374192	3.0425782722604567E-09
610	1.9359629949111556	8.615434906907709E-09
615	1.9353625559058698	3.335068951385139E-08
620	1.9347089846350876	1.8654970380869549E-10
625	1.9339530888256613	-1.9285977336933224E-13
630	1.9330428716610628	-2.5673719186122704E-20
635	1.931940995852562	1.5453873749620704E-14
640	1.9307899858303477	1.7222901512395407E-06
645	1.930824453993438	1.1286669018926177E-07
650	1.9311117123744517	5.379612693338585E-07
655	1.9310653091088605	5.707604752195376E-08
660	1.9304438819336414	4.26829810697534E-09
665	1.9292705712042675	1.3267310447627293E-07
670	1.927903162719459	3.558903760285432E-07
675	1.9286259190039237	5.137912386837623E-09
680	1.9288265741618824	4.578215834825849E-10
685	1.92797826025654	7.724524960210242E-09
690	1.9263648164157616	4.31506806168435E-08
695	1.9267872667877046	2.1169836111580074E-09
700	1.9272030367210229	7.196271596166919E-12
705	1.9262090256084774	-1.1762441632155248E-08
710	1.9247519364300818	-7.989428280418624E-08
715	1.9258840713790455	2.6001065583387646E-07
720	1.9254735077125436	3.725074408694282E-07
725	1.9235850837906339	2.968271330981418E-07
730	1.9246793454859357	2.159467326037869E-07
735	1.924466453528421	2.7925442292064923E-07
740	1.9226166882491769	7.425089634909856E-07
745	1.923839805680219	2.0388014246142792E-06
750	1.9233066198033413	1.8537354725630174E-06
755	1.921892978416263	1.999455402160467E-06
760	1.9231503813021529	1.8346697203264641E-06
765	1.9217461877691773	1.4736373458708807E-06
770	1.9219819321940403	1.284999517489386E-06
775	1.922005	1.330812E-06
780	1.920359583888198	1.1524114156881406E-06
785	1.9216736635349785	1.1083735863516332E-06
790	1.9199978343284265	8.464010257373902E-07
795	1.9209440594841491	7.460155427386515E-07
800	1.9201347098938657	3.930216555829839E-07
805	1.920001136273687	2.8786046695471633E-07
810	1.9200458602723527	4.882430671292946E-07
815	1.9190149879035185	1.5728823475839225E-06
820	1.9197517894942322	2.032066397146377E-07
825	1.9182176120484418	3.0974023280957944E-07
830	1.9193526828940746	4.14956735628621E-09
835	1.9176980841556748	-5.372061320573767E-10
840	1.9189387506393405	1.5636900991527304E-11
845	1.9172379562917836	-3.1110502025511675E-13
850	1.9185158225514471	5.017784318051968E-15
855	1.9167403010685844	-2.0060506279077137E-17
860	1.918070603634675	-1.5577352587228478E-15
865	1.916714	0
870	1.917541135365036	6.457553260203765E-12
875	1.9166354862860144	-7.02513316329039E-10
880	1.916931299139673	6.163484766018094E-08
885	1.916717925072516	-2.7946706419257325E-07
890	1.9161438966760553	-2.0790110142935107E-07
895	1.9166779678839851	2.568945404486014E-09
900	1.915214331229051	-1.16256237892194E-09
905	1.9165165940213773	2.1528302387108878E-07
910	1.9147365696757477	-1.753286716030515E-09
915	1.9159547122692353	7.036416376949219E-08
920	1.9152022388597842	1.058515049516322E-08
925	1.915037426550028	-4.216606273662516E-08
930	1.9154949325464965	2.793859411201119E-07
935	1.9138200081718462	1.286756424190242E-07
940	1.9152748791311105	1.0143105288898487E-07
945	1.9142078394592377	9.231644460179798E-08
950	1.914355268831685	6.089276364485614E-08
955	1.9147454327376887	1.393566200439848E-07
960	1.9130023643269596	5.2122822792879576E-08
965	1.914440406583189	6.715874117398905E-08
970	1.9137678496039163	5.841271081365824E-08
975	1.913222028726003	5.1029112399049407E-08
980	1.9141667353674678	4.5099875334066504E-07
985	1.9127586897936621	-2.663401248383724E-08
990		
995		
1000		
