wavelength=wavelength(nm)	 angle=AOI	 Psi=Psi	 delta=Delta
wavelength=210.487427	 angle=65.000000	 Psi=37.260754	 delta=117.25528
wavelength=212.078271	 angle=65.000000	 Psi=36.965141	 delta=117.11895
wavelength=213.669067	 angle=65.000000	 Psi=37.085499	 delta=117.76446
wavelength=215.259814	 angle=65.000000	 Psi=36.966747	 delta=118.22388
wavelength=216.850537	 angle=65.000000	 Psi=36.936153	 delta=118.79375
wavelength=218.441235	 angle=65.000000	 Psi=36.79829	 delta=119.00956
wavelength=220.031885	 angle=65.000000	 Psi=36.943516	 delta=119.76135
wavelength=221.62251	 angle=65.000000	 Psi=36.890839	 delta=120.28551
wavelength=223.213086	 angle=65.000000	 Psi=36.771343	 delta=120.99754
wavelength=224.803638	 angle=65.000000	 Psi=36.816223	 delta=121.25043
wavelength=226.394165	 angle=65.000000	 Psi=36.763714	 delta=121.66032
wavelength=227.984668	 angle=65.000000	 Psi=36.556435	 delta=122.38406
wavelength=229.575122	 angle=65.000000	 Psi=36.236813	 delta=123.0035
wavelength=231.165576	 angle=65.000000	 Psi=36.067501	 delta=123.54211
wavelength=232.755981	 angle=65.000000	 Psi=35.826878	 delta=123.49815
wavelength=234.346362	 angle=65.000000	 Psi=35.51054	 delta=123.57631
wavelength=235.936694	 angle=65.000000	 Psi=35.452641	 delta=123.73048
wavelength=237.527026	 angle=65.000000	 Psi=35.427799	 delta=123.7532
wavelength=239.117334	 angle=65.000000	 Psi=35.520615	 delta=123.80669
wavelength=240.707593	 angle=65.000000	 Psi=35.657104	 delta=124.24378
wavelength=242.297852	 angle=65.000000	 Psi=35.797886	 delta=124.30554
wavelength=243.888062	 angle=65.000000	 Psi=35.938301	 delta=124.94132
wavelength=245.478271	 angle=65.000000	 Psi=36.145794	 delta=124.85539
wavelength=247.068433	 angle=65.000000	 Psi=36.30835	 delta=125.30486
wavelength=248.658594	 angle=65.000000	 Psi=36.495098	 delta=125.81509
wavelength=250.24873	 angle=65.000000	 Psi=36.603336	 delta=126.21413
wavelength=251.838843	 angle=65.000000	 Psi=36.844193	 delta=126.89758
wavelength=253.428906	 angle=65.000000	 Psi=36.892086	 delta=127.34765
wavelength=255.018994	 angle=65.000000	 Psi=37.082741	 delta=128.01781
wavelength=256.609033	 angle=65.000000	 Psi=37.107918	 delta=128.65552
wavelength=258.199048	 angle=65.000000	 Psi=37.24324	 delta=129.34077
wavelength=259.789063	 angle=65.000000	 Psi=37.393749	 delta=130.0475
wavelength=261.379053	 angle=65.000000	 Psi=37.436722	 delta=130.98521
wavelength=262.969019	 angle=65.000000	 Psi=37.493694	 delta=131.58488
wavelength=264.558984	 angle=65.000000	 Psi=37.540611	 delta=132.60126
wavelength=266.148901	 angle=65.000000	 Psi=37.630062	 delta=133.56491
wavelength=267.738818	 angle=65.000000	 Psi=37.636772	 delta=134.4664
wavelength=269.328735	 angle=65.000000	 Psi=37.712185	 delta=135.47371
wavelength=270.918604	 angle=65.000000	 Psi=37.661495	 delta=136.49171
wavelength=272.508472	 angle=65.000000	 Psi=37.672756	 delta=137.49164
wavelength=274.098315	 angle=65.000000	 Psi=37.632248	 delta=138.58549
wavelength=275.688159	 angle=65.000000	 Psi=37.583401	 delta=139.7011
wavelength=277.277979	 angle=65.000000	 Psi=37.434494	 delta=140.80702
wavelength=278.867798	 angle=65.000000	 Psi=37.24229	 delta=141.83777
wavelength=280.457593	 angle=65.000000	 Psi=37.080048	 delta=142.76089
wavelength=282.047363	 angle=65.000000	 Psi=36.89566	 delta=143.68871
wavelength=283.637134	 angle=65.000000	 Psi=36.720867	 delta=144.70505
wavelength=285.22688	 angle=65.000000	 Psi=36.555115	 delta=145.83577
wavelength=286.816602	 angle=65.000000	 Psi=36.308887	 delta=146.94978
wavelength=288.406323	 angle=65.000000	 Psi=35.954685	 delta=147.90141
wavelength=289.996045	 angle=65.000000	 Psi=35.553448	 delta=148.84819
wavelength=291.585742	 angle=65.000000	 Psi=35.155098	 delta=149.63902
wavelength=293.175439	 angle=65.000000	 Psi=34.721069	 delta=150.28369
wavelength=294.765112	 angle=65.000000	 Psi=34.285458	 delta=150.81038
wavelength=296.354761	 angle=65.000000	 Psi=33.920776	 delta=151.17194
wavelength=297.944409	 angle=65.000000	 Psi=33.524788	 delta=151.47366
wavelength=299.534058	 angle=65.000000	 Psi=33.160061	 delta=151.68385
wavelength=301.123682	 angle=65.000000	 Psi=32.850105	 delta=151.91049
wavelength=302.713306	 angle=65.000000	 Psi=32.581127	 delta=151.9429
wavelength=304.302905	 angle=65.000000	 Psi=32.27758	 delta=152.05997
wavelength=305.892505	 angle=65.000000	 Psi=32.040379	 delta=152.2207
wavelength=307.48208	 angle=65.000000	 Psi=31.877209	 delta=152.33095
wavelength=309.071655	 angle=65.000000	 Psi=31.681967	 delta=152.47112
wavelength=310.66123	 angle=65.000000	 Psi=31.517338	 delta=152.57013
wavelength=312.250781	 angle=65.000000	 Psi=31.3482	 delta=152.56407
wavelength=313.840332	 angle=65.000000	 Psi=31.293144	 delta=152.82919
wavelength=315.429858	 angle=65.000000	 Psi=31.124887	 delta=152.93277
wavelength=317.019385	 angle=65.000000	 Psi=30.995359	 delta=153.03235
wavelength=318.608887	 angle=65.000000	 Psi=30.857798	 delta=153.08914
wavelength=320.198413	 angle=65.000000	 Psi=30.778097	 delta=153.20274
wavelength=321.787891	 angle=65.000000	 Psi=30.684021	 delta=153.41878
wavelength=323.377393	 angle=65.000000	 Psi=30.652554	 delta=153.50652
wavelength=324.96687	 angle=65.000000	 Psi=30.530159	 delta=153.66106
wavelength=326.556323	 angle=65.000000	 Psi=30.468634	 delta=153.80579
wavelength=328.145776	 angle=65.000000	 Psi=30.415907	 delta=153.9146
wavelength=329.735229	 angle=65.000000	 Psi=30.345837	 delta=154.09615
wavelength=331.324658	 angle=65.000000	 Psi=30.293741	 delta=154.31105
wavelength=332.914087	 angle=65.000000	 Psi=30.272812	 delta=154.57304
wavelength=334.503516	 angle=65.000000	 Psi=30.186995	 delta=154.68578
wavelength=336.09292	 angle=65.000000	 Psi=30.169594	 delta=154.83859
wavelength=337.682324	 angle=65.000000	 Psi=30.183552	 delta=154.94319
wavelength=339.271704	 angle=65.000000	 Psi=30.074017	 delta=155.22656
wavelength=340.861084	 angle=65.000000	 Psi=30.159573	 delta=155.44756
wavelength=342.450464	 angle=65.000000	 Psi=30.068714	 delta=155.57542
wavelength=344.039819	 angle=65.000000	 Psi=30.086008	 delta=155.84578
wavelength=345.629175	 angle=65.000000	 Psi=30.083691	 delta=155.83545
wavelength=347.218506	 angle=65.000000	 Psi=30.147318	 delta=156.19756
wavelength=348.807861	 angle=65.000000	 Psi=30.088982	 delta=156.39268
wavelength=350.397168	 angle=65.000000	 Psi=30.172171	 delta=156.73749
wavelength=351.986475	 angle=65.000000	 Psi=30.314129	 delta=157.03807
wavelength=353.575781	 angle=65.000000	 Psi=30.392529	 delta=157.36586
wavelength=355.165088	 angle=65.000000	 Psi=30.44766	 delta=157.59084
wavelength=356.75437	 angle=65.000000	 Psi=30.537422	 delta=158.11993
wavelength=358.343628	 angle=65.000000	 Psi=30.709492	 delta=158.6631
wavelength=359.932886	 angle=65.000000	 Psi=30.871815	 delta=159.24132
wavelength=361.522144	 angle=65.000000	 Psi=30.949358	 delta=159.9928
wavelength=363.111377	 angle=65.000000	 Psi=31.013128	 delta=160.96719
wavelength=364.70061	 angle=65.000000	 Psi=31.119095	 delta=162.08978
wavelength=366.289819	 angle=65.000000	 Psi=31.036402	 delta=163.15643
wavelength=367.879028	 angle=65.000000	 Psi=30.964729	 delta=164.17209
wavelength=369.468213	 angle=65.000000	 Psi=30.763262	 delta=165.20386
wavelength=371.057397	 angle=65.000000	 Psi=30.593506	 delta=166.35448
wavelength=372.646582	 angle=65.000000	 Psi=30.337904	 delta=167.16542
wavelength=374.235718	 angle=65.000000	 Psi=30.076614	 delta=167.89592
wavelength=375.824878	 angle=65.000000	 Psi=29.752342	 delta=168.82661
wavelength=377.414014	 angle=65.000000	 Psi=29.444731	 delta=169.39096
wavelength=379.003125	 angle=65.000000	 Psi=29.165054	 delta=169.9473
wavelength=380.592236	 angle=65.000000	 Psi=28.828146	 delta=170.39154
wavelength=382.181323	 angle=65.000000	 Psi=28.488728	 delta=170.80362
wavelength=383.77041	 angle=65.000000	 Psi=28.272961	 delta=171.14456
wavelength=385.359473	 angle=65.000000	 Psi=27.959602	 delta=171.60429
wavelength=386.948535	 angle=65.000000	 Psi=27.679646	 delta=171.78854
wavelength=388.537573	 angle=65.000000	 Psi=27.391779	 delta=172.0329
wavelength=390.126587	 angle=65.000000	 Psi=27.089788	 delta=172.34947
wavelength=391.715601	 angle=65.000000	 Psi=26.894291	 delta=172.53317
wavelength=393.30459	 angle=65.000000	 Psi=26.734346	 delta=172.55942
wavelength=394.893579	 angle=65.000000	 Psi=26.445194	 delta=172.75505
wavelength=396.482544	 angle=65.000000	 Psi=26.300632	 delta=172.99933
wavelength=398.071484	 angle=65.000000	 Psi=26.076006	 delta=173.01125
wavelength=399.660425	 angle=65.000000	 Psi=25.881443	 delta=173.20277
wavelength=401.249341	 angle=65.000000	 Psi=25.715569	 delta=173.19824
wavelength=402.838232	 angle=65.000000	 Psi=25.510859	 delta=173.2812
wavelength=404.4271	 angle=65.000000	 Psi=25.355375	 delta=173.35439
wavelength=406.015967	 angle=65.000000	 Psi=25.221498	 delta=173.44313
wavelength=407.60481	 angle=65.000000	 Psi=25.019093	 delta=173.55968
wavelength=409.193652	 angle=65.000000	 Psi=24.854908	 delta=173.62746
wavelength=410.782471	 angle=65.000000	 Psi=24.741768	 delta=173.59515
wavelength=412.37124	 angle=65.000000	 Psi=24.587761	 delta=173.54514
wavelength=413.96001	 angle=65.000000	 Psi=24.535484	 delta=173.72134
wavelength=415.548779	 angle=65.000000	 Psi=24.444656	 delta=173.92308
wavelength=417.1375	 angle=65.000000	 Psi=24.247139	 delta=173.83371
wavelength=418.726221	 angle=65.000000	 Psi=24.112408	 delta=174.02522
wavelength=420.314893	 angle=65.000000	 Psi=24.012466	 delta=173.98987
wavelength=421.903564	 angle=65.000000	 Psi=23.922731	 delta=174.10062
wavelength=423.492236	 angle=65.000000	 Psi=23.804077	 delta=174.14639
wavelength=425.080859	 angle=65.000000	 Psi=23.693968	 delta=174.07877
wavelength=426.669482	 angle=65.000000	 Psi=23.575689	 delta=174.19876
wavelength=428.258057	 angle=65.000000	 Psi=23.483471	 delta=174.29684
wavelength=429.846582	 angle=65.000000	 Psi=23.365778	 delta=174.55548
wavelength=431.435156	 angle=65.000000	 Psi=23.231756	 delta=174.37683
wavelength=433.023633	 angle=65.000000	 Psi=23.210659	 delta=174.51405
wavelength=434.612158	 angle=65.000000	 Psi=23.170132	 delta=174.68053
wavelength=436.200586	 angle=65.000000	 Psi=23.068108	 delta=174.73743
wavelength=437.789063	 angle=65.000000	 Psi=22.92728	 delta=174.55098
wavelength=439.377441	 angle=65.000000	 Psi=22.772421	 delta=174.70285
wavelength=440.965869	 angle=65.000000	 Psi=22.642033	 delta=174.7261
wavelength=442.554199	 angle=65.000000	 Psi=22.554298	 delta=174.77599
wavelength=444.142529	 angle=65.000000	 Psi=22.468744	 delta=174.83394
wavelength=445.730859	 angle=65.000000	 Psi=22.412409	 delta=174.75558
wavelength=447.319141	 angle=65.000000	 Psi=22.356865	 delta=174.97165
wavelength=448.907373	 angle=65.000000	 Psi=22.256762	 delta=174.94431
wavelength=450.495605	 angle=65.000000	 Psi=22.182611	 delta=174.96381
wavelength=452.083789	 angle=65.000000	 Psi=22.081671	 delta=175.09882
wavelength=453.671973	 angle=65.000000	 Psi=21.980415	 delta=174.9839
wavelength=455.260107	 angle=65.000000	 Psi=21.878296	 delta=175.06671
wavelength=456.848193	 angle=65.000000	 Psi=21.853779	 delta=175.09933
wavelength=458.436279	 angle=65.000000	 Psi=21.766851	 delta=175.05458
wavelength=460.024316	 angle=65.000000	 Psi=21.659176	 delta=175.12997
wavelength=461.612305	 angle=65.000000	 Psi=21.626863	 delta=175.27612
wavelength=463.200293	 angle=65.000000	 Psi=21.519213	 delta=175.32759
wavelength=464.788232	 angle=65.000000	 Psi=21.497957	 delta=175.30214
wavelength=466.376172	 angle=65.000000	 Psi=21.485636	 delta=175.35971
wavelength=467.964014	 angle=65.000000	 Psi=21.349232	 delta=175.48917
wavelength=469.551855	 angle=65.000000	 Psi=21.294626	 delta=175.45778
wavelength=471.139697	 angle=65.000000	 Psi=21.233452	 delta=175.46812
wavelength=472.727441	 angle=65.000000	 Psi=21.098993	 delta=175.49532
wavelength=474.315186	 angle=65.000000	 Psi=21.065739	 delta=175.43788
wavelength=475.902881	 angle=65.000000	 Psi=21.033245	 delta=175.44385
wavelength=477.490527	 angle=65.000000	 Psi=21.034857	 delta=175.46429
wavelength=479.078174	 angle=65.000000	 Psi=20.858711	 delta=175.43817
wavelength=480.665771	 angle=65.000000	 Psi=20.81234	 delta=175.49017
wavelength=482.25332	 angle=65.000000	 Psi=20.786222	 delta=175.57596
wavelength=483.84082	 angle=65.000000	 Psi=20.739788	 delta=175.49767
wavelength=485.428271	 angle=65.000000	 Psi=20.658066	 delta=175.59871
wavelength=487.015723	 angle=65.000000	 Psi=20.625263	 delta=175.6665
wavelength=488.603125	 angle=65.000000	 Psi=20.534582	 delta=175.61748
wavelength=490.19043	 angle=65.000000	 Psi=20.436743	 delta=175.64995
wavelength=491.777734	 angle=65.000000	 Psi=20.452379	 delta=175.70029
wavelength=493.36499	 angle=65.000000	 Psi=20.423698	 delta=175.71429
wavelength=494.952246	 angle=65.000000	 Psi=20.332243	 delta=175.78532
wavelength=496.539404	 angle=65.000000	 Psi=20.25865	 delta=175.76872
wavelength=498.126514	 angle=65.000000	 Psi=20.19949	 delta=175.75673
wavelength=499.713623	 angle=65.000000	 Psi=20.199722	 delta=175.71695
wavelength=501.300684	 angle=65.000000	 Psi=20.171228	 delta=175.78075
wavelength=502.887646	 angle=65.000000	 Psi=20.115993	 delta=175.75006
wavelength=504.474609	 angle=65.000000	 Psi=20.073919	 delta=175.89188
wavelength=506.061523	 angle=65.000000	 Psi=20.039406	 delta=175.83032
wavelength=507.64834	 angle=65.000000	 Psi=20.002127	 delta=175.77878
wavelength=509.235156	 angle=65.000000	 Psi=19.965841	 delta=175.86621
wavelength=510.821924	 angle=65.000000	 Psi=19.939535	 delta=175.94385
wavelength=512.408643	 angle=65.000000	 Psi=19.85055	 delta=175.90787
wavelength=513.995264	 angle=65.000000	 Psi=19.853228	 delta=175.92221
wavelength=515.581885	 angle=65.000000	 Psi=19.726595	 delta=175.89488
wavelength=517.168457	 angle=65.000000	 Psi=19.677809	 delta=175.89159
wavelength=518.754932	 angle=65.000000	 Psi=19.674767	 delta=176.06688
wavelength=520.341406	 angle=65.000000	 Psi=19.688274	 delta=175.9516
wavelength=521.927783	 angle=65.000000	 Psi=19.623909	 delta=175.92073
wavelength=523.51416	 angle=65.000000	 Psi=19.552282	 delta=175.94951
wavelength=525.100439	 angle=65.000000	 Psi=19.561398	 delta=176.06979
wavelength=526.68667	 angle=65.000000	 Psi=19.538733	 delta=175.98624
wavelength=528.272852	 angle=65.000000	 Psi=19.455101	 delta=176.15977
wavelength=529.858984	 angle=65.000000	 Psi=19.466166	 delta=176.01375
wavelength=531.445068	 angle=65.000000	 Psi=19.349993	 delta=176.00467
wavelength=533.031055	 angle=65.000000	 Psi=19.309334	 delta=176.14452
wavelength=534.616992	 angle=65.000000	 Psi=19.285601	 delta=176.10735
wavelength=536.202881	 angle=65.000000	 Psi=19.227077	 delta=176.15222
wavelength=537.788721	 angle=65.000000	 Psi=19.214788	 delta=176.17789
wavelength=539.374512	 angle=65.000000	 Psi=19.142002	 delta=176.18658
wavelength=540.960254	 angle=65.000000	 Psi=19.154142	 delta=176.13271
wavelength=542.545898	 angle=65.000000	 Psi=19.140135	 delta=175.97118
wavelength=544.131494	 angle=65.000000	 Psi=19.06673	 delta=176.03867
wavelength=545.716992	 angle=65.000000	 Psi=19.082129	 delta=176.22203
wavelength=547.30249	 angle=65.000000	 Psi=18.996515	 delta=176.14006
wavelength=548.887891	 angle=65.000000	 Psi=19.004206	 delta=176.16351
wavelength=550.473242	 angle=65.000000	 Psi=19.015009	 delta=176.27209
wavelength=552.058496	 angle=65.000000	 Psi=18.971075	 delta=176.22632
wavelength=553.643701	 angle=65.000000	 Psi=18.87904	 delta=176.27391
wavelength=555.228857	 angle=65.000000	 Psi=18.853041	 delta=176.3528
wavelength=556.813965	 angle=65.000000	 Psi=18.831451	 delta=176.17595
wavelength=558.398975	 angle=65.000000	 Psi=18.809828	 delta=176.29207
wavelength=559.983936	 angle=65.000000	 Psi=18.759651	 delta=176.28978
wavelength=561.568799	 angle=65.000000	 Psi=18.79126	 delta=176.27505
wavelength=563.153613	 angle=65.000000	 Psi=18.67182	 delta=176.34296
wavelength=564.73833	 angle=65.000000	 Psi=18.664867	 delta=176.38805
wavelength=566.322998	 angle=65.000000	 Psi=18.677114	 delta=176.22455
wavelength=567.907617	 angle=65.000000	 Psi=18.653408	 delta=176.27007
wavelength=569.492139	 angle=65.000000	 Psi=18.66972	 delta=176.37288
wavelength=571.076611	 angle=65.000000	 Psi=18.586229	 delta=176.32747
wavelength=572.660986	 angle=65.000000	 Psi=18.568161	 delta=176.35873
wavelength=574.245313	 angle=65.000000	 Psi=18.554842	 delta=176.49516
wavelength=575.829541	 angle=65.000000	 Psi=18.572563	 delta=176.35881
wavelength=577.413672	 angle=65.000000	 Psi=18.569477	 delta=176.34558
wavelength=578.997803	 angle=65.000000	 Psi=18.557695	 delta=176.46194
wavelength=580.581787	 angle=65.000000	 Psi=18.387316	 delta=176.45863
wavelength=582.165723	 angle=65.000000	 Psi=18.391069	 delta=176.50777
wavelength=583.749609	 angle=65.000000	 Psi=18.397211	 delta=176.55531
wavelength=585.333398	 angle=65.000000	 Psi=18.340874	 delta=176.58568
wavelength=586.91709	 angle=65.000000	 Psi=18.338316	 delta=176.6252
wavelength=588.500684	 angle=65.000000	 Psi=18.320061	 delta=176.53094
wavelength=590.084229	 angle=65.000000	 Psi=18.295195	 delta=176.5047
wavelength=591.667725	 angle=65.000000	 Psi=18.167631	 delta=176.44606
wavelength=593.251123	 angle=65.000000	 Psi=18.165867	 delta=176.55774
wavelength=594.834424	 angle=65.000000	 Psi=18.290354	 delta=176.66571
wavelength=596.417627	 angle=65.000000	 Psi=18.189438	 delta=176.65596
wavelength=598.000781	 angle=65.000000	 Psi=18.280891	 delta=176.65195
wavelength=599.583838	 angle=65.000000	 Psi=18.068018	 delta=176.56969
wavelength=601.166797	 angle=65.000000	 Psi=18.081953	 delta=176.36688
wavelength=602.749707	 angle=65.000000	 Psi=18.114613	 delta=176.48756
wavelength=604.33252	 angle=65.000000	 Psi=17.99155	 delta=176.49957
wavelength=605.915234	 angle=65.000000	 Psi=18.088388	 delta=176.6245
wavelength=607.497852	 angle=65.000000	 Psi=18.103191	 delta=176.74875
wavelength=609.08042	 angle=65.000000	 Psi=18.031343	 delta=176.58748
wavelength=610.662891	 angle=65.000000	 Psi=18.054201	 delta=176.70837
wavelength=612.245264	 angle=65.000000	 Psi=17.971703	 delta=176.7924
wavelength=613.827539	 angle=65.000000	 Psi=17.90439	 delta=176.71223
wavelength=615.409717	 angle=65.000000	 Psi=17.990452	 delta=176.7805
wavelength=616.991846	 angle=65.000000	 Psi=17.957596	 delta=176.64423
wavelength=618.573877	 angle=65.000000	 Psi=17.890823	 delta=176.58237
wavelength=620.155762	 angle=65.000000	 Psi=17.881887	 delta=176.92606
wavelength=621.737598	 angle=65.000000	 Psi=17.939289	 delta=176.8112
wavelength=623.319385	 angle=65.000000	 Psi=17.809162	 delta=176.62926
wavelength=624.901025	 angle=65.000000	 Psi=17.84687	 delta=176.80971
wavelength=626.482568	 angle=65.000000	 Psi=17.83289	 delta=176.83247
wavelength=628.064063	 angle=65.000000	 Psi=17.818399	 delta=176.83067
wavelength=629.64541	 angle=65.000000	 Psi=17.823944	 delta=176.80443
wavelength=631.226709	 angle=65.000000	 Psi=17.838293	 delta=176.77249
wavelength=632.807861	 angle=65.000000	 Psi=17.724777	 delta=176.76024
wavelength=634.388965	 angle=65.000000	 Psi=17.688654	 delta=176.78064
wavelength=635.969971	 angle=65.000000	 Psi=17.715544	 delta=176.95531
wavelength=637.55083	 angle=65.000000	 Psi=17.740009	 delta=177.00201
wavelength=639.131641	 angle=65.000000	 Psi=17.702093	 delta=176.65413
wavelength=640.712354	 angle=65.000000	 Psi=17.714567	 delta=176.78416
wavelength=642.29292	 angle=65.000000	 Psi=17.715527	 delta=176.9055
wavelength=643.873438	 angle=65.000000	 Psi=17.496391	 delta=176.83691
wavelength=645.453857	 angle=65.000000	 Psi=17.514572	 delta=176.86465
wavelength=647.034131	 angle=65.000000	 Psi=17.617325	 delta=176.85428
wavelength=648.614355	 angle=65.000000	 Psi=17.586334	 delta=176.89334
wavelength=650.194434	 angle=65.000000	 Psi=17.68796	 delta=176.93654
wavelength=651.774414	 angle=65.000000	 Psi=17.508224	 delta=176.76263
wavelength=653.354346	 angle=65.000000	 Psi=17.505846	 delta=176.88486
wavelength=654.934131	 angle=65.000000	 Psi=17.554117	 delta=176.87877
wavelength=656.513818	 angle=65.000000	 Psi=17.58012	 delta=177.05534
wavelength=658.093408	 angle=65.000000	 Psi=17.458527	 delta=176.88872
wavelength=659.6729	 angle=65.000000	 Psi=17.493584	 delta=177.1467
wavelength=661.252246	 angle=65.000000	 Psi=17.41873	 delta=177.08073
wavelength=662.831543	 angle=65.000000	 Psi=17.452913	 delta=176.86058
wavelength=664.410693	 angle=65.000000	 Psi=17.504728	 delta=177.01877
wavelength=665.989746	 angle=65.000000	 Psi=17.499594	 delta=176.918
wavelength=667.568701	 angle=65.000000	 Psi=17.399849	 delta=176.97391
wavelength=669.147559	 angle=65.000000	 Psi=17.24408	 delta=177.11635
wavelength=670.72627	 angle=65.000000	 Psi=17.336943	 delta=176.88977
wavelength=672.304883	 angle=65.000000	 Psi=17.340921	 delta=176.96399
wavelength=673.883447	 angle=65.000000	 Psi=17.399019	 delta=177.03468
wavelength=675.461816	 angle=65.000000	 Psi=17.443268	 delta=177.15916
wavelength=677.040137	 angle=65.000000	 Psi=17.248028	 delta=177.12495
wavelength=678.618311	 angle=65.000000	 Psi=17.323725	 delta=177.19032
wavelength=680.196387	 angle=65.000000	 Psi=17.374365	 delta=177.21425
wavelength=681.774365	 angle=65.000000	 Psi=17.200935	 delta=177.10078
wavelength=683.352246	 angle=65.000000	 Psi=17.193419	 delta=177.03922
wavelength=684.92998	 angle=65.000000	 Psi=17.157774	 delta=177.03082
