wavelength(nm)	n	k
350	1.4768877176066335	0
355	1.4760691216439046	0
360	1.4752873501380253	0
365	1.4745394802432361	0
370	1.473823540789012	0
375	1.4731380116388966	0
380	1.472481375364792	0
385	1.4718521145386003	0
390	1.4712487117322226	0
395	1.4706696495175606	0
400	1.4701134104665163	0
405	1.469578477176018	0
410	1.469063470138991	0
415	1.4685674708775338	0
420	1.4680896571486861	0
425	1.4676292067094883	0
430	1.4671852973169808	0
435	1.4667571067282037	0
440	1.4663438358167447	0
445	1.4659448359521283	0
450	1.4655595187426909	0
455	1.4651872959565206	0
460	1.4648275793617056	0
465	1.4644797807263337	0
470	1.464143312920443	0
475	1.4638176230333162	0
480	1.4635021981779668	0
485	1.4631965277391983	0
490	1.4629001011018141	0
495	1.462612407650618	0
500	1.4623329367704132	0
505	1.4620611778460033	0
510	1.4617966216337615	0
515	1.4615388844346737	0
520	1.461287807195249	0
525	1.4610432541826792	0
530	1.4608050896641562	0
535	1.4605731779068727	0
540	1.4603473831780203	0
545	1.4601275697447915	0
550	1.4599135950359912	0
555	1.4597052625640459	0
560	1.459502350288417	0
565	1.4593046360151258	0
570	1.4591118975501947	0
575	1.4589239126996445	0
580	1.4587404516063425	0
585	1.4585611697496539	0
590	1.458385634538168	0
595	1.4582135169081722	0
600	1.458044767702839	0
605	1.4578793835256314	0
610	1.4577173609800131	0
615	1.4575586966694478	0
620	1.4574033871973988	0
625	1.4572514291673295	0
630	1.4571028191827036	0
635	1.4569575538469843	0
640	1.4568156297636352	0
645	1.4566770426224303	0
650	1.4565416657506323	0
655	1.4564091281988671	0
660	1.4562790300038824	0
665	1.4561509712024256	0
670	1.456024558482572	0
675	1.455899605078358	0
680	1.4557761658054371	0
685	1.4556543091918925	0
690	1.455534103765807	0
695	1.455415618055263	0
700	1.455298920588344	0
705	1.4551840798931321	0
710	1.455071157865042	0
715	1.4549601479263683	0
720	1.4548510031039397	0
725	1.4547436759024799	0
730	1.4546381188267123	0
735	1.4545342843813607	0
740	1.4544321250711487	0
745	1.4543315934007996	0
750	1.454232641875037	0
755	1.4541352229985849	0
760	1.4540392892761664	0
765	1.4539447932125054	0
770	1.453851687312325	0
775	1.4537599240803492	0
780	1.4536694560213015	0
785	1.4535802356399055	0
790	1.4534922154408845	0
795	1.4534053479289624	0
800	1.4533195856088628	0
805	1.4532348809853088	0
810	1.4531511865630244	0
815	1.4530684548467332	0
820	1.4529866383411585	0
825	1.4529056895510242	0
830	1.4528255609810534	0
835	1.45274620513597	0
840	1.4526675745204978	0
845	1.45258962163936	0
850	1.45251229899728	0
855	1.4524355604637593	0
860	1.4523593820390246	0
865	1.4522837576786114	0
870	1.4522086818562898	0
875	1.4521341490458295	0
880	1.4520601537210003	0
885	1.4519866903555718	0
890	1.451913753423314	0
895	1.4518413373970445	0
900	1.4517694359793565	0
905	1.4516980407138236	0
910	1.4516271427685683	0
915	1.4515567333117134	0
920	1.4514868035113815	0
925	1.451417344535695	0
930	1.4513483475527769	0
935	1.4512798037307495	0
940	1.4512117042377355	0
945	1.4511440402418576	0
950	1.4510768029112384	0
955	1.4510099834140004	0
960	1.4509435729182663	0
965	1.4508775625921588	0
970	1.4508119436038003	0
975	1.4507467071213136	0
980	1.4506818443128215	0
985	1.4506173463464462	0
990	1.4505532043903107	0
995	1.4504894096125371	0
1000	1.4504259531812487	0
