wavelength(nm)	n	k
350	5.425633298145569	2.9873102671447826
355	5.636502962009147	3.0175005723015533
360	6.020582659158678	3.001348527739271
365	6.527460824323241	2.6990514758242083
370	6.813726095076098	2.0725961618893725
375	6.754675733158888	1.428194157471871
380	6.4874463538183855	0.9845760546769862
385	6.203255142730136	0.7271603135552965
390	5.9564725464473725	0.5657828546161916
395	5.749949788195134	0.45889595147565854
400	5.5780867288309315	0.3899161396594468
405	5.433406601626635	0.3328451207763544
410	5.304126048186831	0.2985779722573873
415	5.1921982037069885	0.26100291269143205
420	5.094053800470151	0.24002075774847856
425	5.0078531476458625	0.21071045308907052
430	4.928399385881525	0.1969614268328847
435	4.856149122309759	0.1853640447006649
440	4.790999895768886	0.1700000036984537
445	4.732495399463755	0.15398525362062496
450	4.67731739831798	0.14767745993568288
455	4.626557312572761	0.130408955665261
460	4.579041521374157	0.12980141068258486
465	4.534701130096602	0.13459251649913595
470	4.494999444222539	0.12000001483722021
475	4.456282014229515	0.10891537550441523
480	4.422602975162886	0.0923470494579902
485	4.389006622907006	0.08211431415309278
490	4.3576517926008345	0.07863957594993912
495	4.327554002150148	0.07383544159621694
500	4.299702669228083	0.07334979687086135
505	4.273754654077179	0.06650999287614905
510	4.247755672513448	0.06891218902725008
515	4.22428358984755	0.05898484574293597
520	4.201811964053644	0.05742772975898644
525	4.180181408505607	0.054017275096558126
530	4.16004751253934	0.0433546232437662
535	4.139321624176549	0.04521091209774343
540	4.121146377816424	0.047699041141353225
545	4.103153543104026	0.04410389698010611
550	4.085745254800512	0.041850151612157355
555	4.069512696099379	0.03221817513626678
560	4.053752651603961	0.0376901536785374
565	4.038940829781599	0.031680577015923236
570	4.023556927980573	0.03395973841680759
575	4.0097070447980565	0.029425667694122366
580	3.996516038401906	0.027031194403559913
585	3.983723429014174	0.02985769412188735
590	3.97107513605458	0.030286981314807608
595	3.959475350953247	0.0278576726523158
600	3.9481073871306784	0.025519381253822047
605	3.9375520046298185	0.024903774891573426
610	3.9272046275502372	0.02491035253719902
615	3.9164981786831503	0.02373278267903587
620	3.906805136260104	0.022052878785308785
625	3.8963237656571876	0.022167453896216337
630	3.887123378697028	0.020559019096537193
635	3.8785572908518433	0.018444845187839252
640	3.8692315814351215	0.017963954613979774
645	3.8601754901885066	0.017233413959251098
650	3.8517408785369684	0.016326974650890263
655	3.844156301713276	0.015969547537809565
660	3.836999609076363	0.01600000163012063
665	3.829303409681499	0.015353833784842877
670	3.8214901318813492	0.014582395665033056
675	3.814062901133864	0.013902783901192182
680	3.8072409074277096	0.013171218549438044
685	3.801068682383417	0.012894699466466538
690	3.795219291096528	0.013022188014593736
695	3.789366858516377	0.013082930614382125
700	3.7837703174289308	0.012730518517488179
705	3.778	0.011999999999987496
710	3.7715672526204487	0.011252212256551226
715	3.7662338278478473	0.010979415763717953
720	3.762231350159416	0.0110536722395189
725	3.757230693681497	0.010589974490464506
730	3.7518881968016076	0.009993173760084467
735	3.747830895703658	0.010013439971661193
740	3.743697487251246	0.009889345086229333
745	3.738571779871959	0.009240581445641967
750	3.733532630551246	0.008942292363114307
755	3.7292163235642586	0.009034461216455963
760	3.7255594972750328	0.008697122664569597
765	3.721801251127266	0.008082407125472592
770	3.7172022838954675	0.007863099897496858
775	3.714089017001488	0.007983592129775776
780	3.7147620472615364	0.008099162018572924
785	3.7142444326949366	0.008015336508254393
790	3.707110606526691	0.007630793414242375
795	3.697621412496224	0.007048297987264031
800	3.6916457752176983	0.006441344575460442
805	3.6884067509133454	0.00602931559579362
810	3.6853586529792692	0.0059770845199760645
815	3.6819384563983917	0.0060241093315097066
820	3.678329976116126	0.005789240969045779
825	3.6746363392356716	0.005268690018821971
830		
835		
840		
845		
850		
855		
860		
865		
870		
875		
880		
885		
890		
895		
900		
905		
910		
915		
920		
925		
930		
935		
940		
945		
950		
955		
960		
965		
970		
975		
980		
985		
990		
995		
1000		
